superClass,superClassLabel,class,classLabel
http://purl.obolibrary.org/BIO/BIO_0000701,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Moderate-plus Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001754,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Moderate-plus Profile Breast Implant 354-3001
http://purl.obolibrary.org/BIO/BIO_0000699,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-High Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001315,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-High Profile Breast Implant 354-4600
http://purl.obolibrary.org/BIO/BIO_0000644,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate-plus Profile xtra Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001352,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate-plus Profile xtra Breast Implant SMPX525
http://purl.obolibrary.org/BIO/BIO_0000662,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Ultra-high Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001055,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Ultra-high Profile Breast Implant 350-5350BC
http://purl.obolibrary.org/BIO/BIO_0000730,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0000731,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate Profile Breast Implant 350-7800BC
http://purl.obolibrary.org/BIO/BIO_0000633,MENTOR MemoryGel Silicone Gel-Filled Xtra SILTEX Round-High Profile xtra Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001028,MENTOR MemoryGel Silicone Gel-Filled Xtra SILTEX Round-High Profile xtra Breast Implant THPX570
http://purl.obolibrary.org/BIO/BIO_0000699,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-High Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001750,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-High Profile Breast Implant 354-4400
http://purl.obolibrary.org/BIO/BIO_0000633,MENTOR MemoryGel Silicone Gel-Filled Xtra SILTEX Round-High Profile xtra Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001693,MENTOR MemoryGel Silicone Gel-Filled Xtra SILTEX Round-High Profile xtra Breast Implant THPX230
http://purl.obolibrary.org/BIO/BIO_0000717,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Moderate Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001959,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Moderate Profile Breast Implant 354-3257
http://purl.obolibrary.org/BIO/BIO_0000685,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Moderate classic Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0002012,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Moderate classic Profile Breast Implant 354-3007MC
http://purl.obolibrary.org/BIO/BIO_0000636,MENTOR MemoryGel Silicone Gel-Filled Xtra SILTEX Round-Moderate-plus Profile xtra Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001701,MENTOR MemoryGel Silicone Gel-Filled Xtra SILTEX Round-Moderate-plus Profile xtra Breast Implant TMPX130
http://purl.obolibrary.org/BIO/BIO_0000644,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate-plus Profile xtra Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001353,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate-plus Profile xtra Breast Implant SMPX440
